epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,550.922,1.53235,0.97724,1.52279,0.79188,0.75,0.77252,0.32491,1.97489,1.0424,1.99209,0.0009176,0.0009176,0.0009176
43,563.876,1.51139,1.00845,1.53446,0.85848,0.73611,0.82171,0.37015,1.85676,0.99874,1.81743,0.0008912,0.0008912,0.0008912
44,576.845,1.51939,1.01717,1.53364,0.78449,0.73611,0.76645,0.32357,2.01089,1.0293,1.99958,0.0008648,0.0008648,0.0008648
45,589.796,1.47744,0.99823,1.50207,0.8376,0.76407,0.8017,0.35296,1.90443,0.98744,1.93753,0.0008384,0.0008384,0.0008384
46,602.864,1.47504,0.95968,1.50211,0.83318,0.77315,0.82122,0.3756,1.87017,0.92358,1.86561,0.000812,0.000812,0.000812
47,615.825,1.44139,0.96877,1.49094,0.80928,0.78704,0.81433,0.35758,1.91155,0.93592,1.93091,0.0007856,0.0007856,0.0007856
48,628.751,1.44057,0.92789,1.48601,0.84333,0.7963,0.83274,0.35427,1.9274,0.90352,1.97198,0.0007592,0.0007592,0.0007592
49,641.736,1.41751,0.93729,1.46291,0.80853,0.75463,0.78616,0.34904,1.91877,0.92256,1.98267,0.0007328,0.0007328,0.0007328
50,654.664,1.42837,0.93023,1.46559,0.85695,0.76852,0.82144,0.35337,1.88166,0.9299,1.93607,0.0007064,0.0007064,0.0007064
51,667.776,1.40396,0.97021,1.44423,0.8596,0.80093,0.84025,0.37286,1.91131,0.90334,1.95469,0.00068,0.00068,0.00068
52,680.727,1.42391,0.89897,1.46208,0.86202,0.75203,0.84481,0.36634,1.87543,0.92318,1.95713,0.0006536,0.0006536,0.0006536
53,693.689,1.4108,0.87655,1.44305,0.82964,0.81165,0.83457,0.37819,1.86033,0.90992,1.93737,0.0006272,0.0006272,0.0006272
54,706.588,1.42227,0.89835,1.47316,0.88083,0.75283,0.83921,0.35772,1.92604,0.9352,1.96911,0.0006008,0.0006008,0.0006008
55,719.584,1.38422,0.86944,1.43067,0.84372,0.77778,0.81963,0.35252,1.96546,0.92856,2.04458,0.0005744,0.0005744,0.0005744
56,732.611,1.37027,0.8686,1.4183,0.84486,0.76852,0.82254,0.36468,1.90666,0.89448,1.95135,0.000548,0.000548,0.000548
57,745.406,1.37026,0.86278,1.43041,0.8782,0.78241,0.84487,0.34886,1.93856,0.91478,1.98647,0.0005216,0.0005216,0.0005216
58,758.125,1.36343,0.87157,1.41986,0.85902,0.78987,0.84271,0.36287,1.94652,0.8972,1.98434,0.0004952,0.0004952,0.0004952
59,770.875,1.35621,0.84943,1.41053,0.83657,0.75926,0.80898,0.36998,1.913,0.91674,2.00369,0.0004688,0.0004688,0.0004688
60,783.86,1.3139,0.8195,1.38787,0.81696,0.79167,0.79919,0.34643,1.93747,0.93257,2.02887,0.0004424,0.0004424,0.0004424
61,796.63,1.33905,0.8436,1.39876,0.81883,0.80556,0.83882,0.38043,1.88179,0.92138,1.99045,0.000416,0.000416,0.000416
62,809.391,1.30462,0.81372,1.37468,0.85258,0.77648,0.82143,0.36462,1.91823,0.90966,2.021,0.0003896,0.0003896,0.0003896
63,822.136,1.28447,0.82418,1.37564,0.85147,0.76389,0.80872,0.35362,1.92063,0.96575,2.0146,0.0003632,0.0003632,0.0003632
64,834.853,1.27643,0.82365,1.36717,0.84056,0.77778,0.82111,0.37165,1.91539,0.91303,2.03872,0.0003368,0.0003368,0.0003368
65,847.624,1.28112,0.80566,1.36165,0.83465,0.75,0.80498,0.34386,1.95131,0.91919,2.0881,0.0003104,0.0003104,0.0003104
66,882.489,1.26662,0.68813,1.38067,0.84696,0.7963,0.83292,0.37053,1.91661,0.85999,2.02203,0.000284,0.000284,0.000284
67,895.067,1.23917,0.72379,1.38587,0.85744,0.76852,0.83362,0.36572,1.92464,0.9348,2.04816,0.0002576,0.0002576,0.0002576
68,907.626,1.23135,0.67463,1.39957,0.85145,0.79605,0.83715,0.36207,1.91012,0.91235,2.05293,0.0002312,0.0002312,0.0002312
69,920.235,1.17202,0.63959,1.32913,0.83743,0.80556,0.83563,0.36057,1.89194,0.91212,2.00914,0.0002048,0.0002048,0.0002048
70,932.824,1.1732,0.65096,1.33724,0.84609,0.78241,0.8319,0.36736,1.87954,0.91776,2.00462,0.0001784,0.0001784,0.0001784
71,945.439,1.16234,0.6362,1.33229,0.81737,0.78737,0.8241,0.36073,1.92962,0.94844,2.07101,0.000152,0.000152,0.000152
72,958.033,1.15657,0.65339,1.3291,0.84191,0.81361,0.82729,0.36227,1.93243,0.92251,2.07707,0.0001256,0.0001256,0.0001256
73,970.648,1.1411,0.62942,1.3182,0.82645,0.79366,0.82192,0.35772,1.92521,0.909,2.06272,9.92e-05,9.92e-05,9.92e-05
74,983.239,1.13756,0.62303,1.30108,0.8461,0.76852,0.81818,0.35792,1.95415,0.92863,2.12173,7.28e-05,7.28e-05,7.28e-05
75,995.82,1.11759,0.62638,1.29792,0.83121,0.79167,0.83928,0.36934,1.91732,0.91288,2.08546,4.64e-05,4.64e-05,4.64e-05
